"","SubjectCode","Level","nTrialLevel","ClocksInSet","Accuracy","Jymmin","RT"
"1",1,1,1,25,18,0,476.481727873102
"2",1,1,26,25,22,0,421.665504598142
"3",1,1,51,25,25,0,451.199813454847
"4",1,1,76,25,20,0,382.544858534649
"5",1,1,101,25,23,0,373.857532809502
"6",1,1,126,25,23,0,441.183723942745
"7",1,1,151,25,25,0,503.180160641432
"8",1,2,1,25,22,0,903.327850192781
"9",1,2,26,25,19,0,417.948523896718
"10",1,2,51,25,23,0,726.985495546038
"11",1,2,76,25,21,0,1025.71677481265
"12",1,2,101,25,22,0,651.039320876362
"13",1,2,126,25,13,0,620.93124651544
"14",1,2,151,25,20,0,552.928479304926
"15",1,2,176,25,20,0,601.071798493298
"16",1,2,201,25,18,0,1295.61183539968
"17",1,2,226,25,17,0,474.946752831133
"18",1,2,251,25,18,0,474.632798548101
"19",1,2,276,25,22,0,576.139620988644
"20",1,2,301,25,17,0,440.579201569967
"21",1,2,326,25,19,0,650.419288953425
"22",1,2,351,25,22,0,437.649376477835
"23",1,2,376,25,22,0,297.554238601789
"24",1,2,401,25,24,0,690.493422545143
"25",1,2,426,25,23,0,527.344274434328
"26",1,2,451,25,25,0,511.053015156084
"27",1,2,476,25,21,0,485.784624298483
"28",1,2,501,25,22,0,503.189254433517
"29",1,2,526,25,20,0,351.454107336185
"30",1,2,551,25,20,0,379.320031531015
"31",1,2,576,25,22,0,482.612264251784
"32",1,2,601,25,20,0,590.454810106932
"33",1,2,626,25,21,0,774.209922333012
"34",1,2,651,25,21,0,506.072693619354
"35",1,2,676,14,11,0,154.26148361474
"36",1,2,690,25,23,0,443.069344898318
"37",1,2,715,25,18,0,452.063323513323
"38",1,2,740,25,21,0,586.052447651905
"39",1,2,765,25,19,0,330.42521633507
"40",1,2,790,25,19,0,294.444591987269
"41",1,2,815,25,17,0,476.29322255755
"42",1,2,840,19,15,0,481.815513470753
"43",1,2,859,25,22,0,624.975600927662
"44",1,2,884,25,24,0,292.211295742048
"45",1,2,909,25,23,0,559.674478269589
"46",1,2,934,25,19,0,398.362585767761
"47",1,2,959,25,24,0,722.985717516038
"48",1,2,984,25,17,0,451.06502584705
"49",1,2,1009,25,18,0,606.826308927072
"50",1,2,1034,25,18,0,417.080158601011
"51",1,2,1059,25,23,0,747.978869805245
"52",1,2,1084,25,16,0,538.809561914861
"53",1,2,1109,25,22,0,699.114431617182
"54",1,2,1134,18,16,0,247.817374736442
"55",1,2,1152,25,19,0,496.563416056299
"56",1,2,1177,25,23,0,881.805235599065
"57",1,2,1202,25,21,0,386.49056837617
"58",1,2,1227,25,23,0,226.078471749007
"59",1,2,1252,25,17,0,417.54671494248
"60",1,2,1277,25,17,0,356.620395627894
"61",1,2,1302,25,21,0,516.76645849085
"62",1,2,1327,25,22,0,719.299587543706
"63",1,2,1352,25,14,0,419.101049483949
"64",1,2,1377,25,24,0,776.55460386612
"65",1,2,1402,25,22,0,321.868513091338
"66",1,2,1427,25,23,0,616.028088415371
"67",1,2,1452,25,24,0,673.534773920411
"68",1,2,1477,25,20,0,495.309615278897
"69",1,2,1502,25,22,0,564.304259187382
"70",1,2,1527,1,0,0,5.30426964427381
"71",1,2,1528,25,20,0,452.450366520088
"72",1,2,1553,25,22,0,348.945265305734
"73",1,2,1578,25,23,0,560.047769548372
"74",1,2,1603,25,22,0,412.244329284046
"75",1,2,1628,25,23,0,952.253500065775
"76",2,1,1,25,25,1,241.885420103573
"77",2,1,26,25,23,1,277.831589963155
"78",2,1,51,25,24,1,334.978828986327
"79",2,1,76,12,12,1,56.5888149208544
"80",2,1,88,25,25,1,299.180580026955
"81",2,1,113,25,20,1,367.019024388788
"82",2,1,138,25,22,1,296.476932145645
"83",2,1,163,25,25,1,443.679023199491
"84",2,1,188,25,24,1,539.426585909625
"85",2,1,213,8,6,1,121.411788480051
"86",2,1,221,13,13,1,111.509252969975
"87",2,1,234,25,25,1,182.895495827714
"88",2,1,259,25,25,1,241.796744691309
"89",2,1,284,25,24,1,285.367455445126
"90",2,1,309,25,24,1,475.936194722278
"91",2,1,334,25,25,1,381.97057992931
"92",2,1,359,25,25,1,295.815957815277
"93",2,1,384,25,25,1,298.672419579906
"94",2,1,409,25,24,1,230.895446883487
"95",2,1,434,25,24,1,260.945191564025
"96",2,1,459,25,22,1,393.732035871227
"97",2,1,484,25,25,1,384.604750975964
"98",2,1,509,25,25,1,381.301562105866
"99",2,1,534,19,17,1,309.203181740687
"100",2,1,553,25,21,1,344.111188724113
"101",2,1,578,25,25,1,440.514562415136
"102",2,1,603,25,25,1,213.249860007312
"103",2,1,628,25,24,1,219.617911213137
"104",2,1,653,25,25,1,283.389203447645
"105",2,1,678,25,24,1,351.109019292127
"106",2,1,703,15,15,1,196.196668017385
"107",2,1,718,25,20,1,218.979277268387
"108",2,1,743,25,22,1,311.204904834482
"109",2,1,768,25,25,1,156.294665371479
"110",2,1,793,25,21,1,393.167417922685
"111",2,1,818,25,24,1,225.267507211322
"112",2,1,843,25,20,1,247.57065704621
"113",2,1,868,25,24,1,392.428075704928
"114",2,1,893,25,23,1,353.737161322481
"115",2,1,918,25,25,1,210.346704499039
"116",2,1,943,25,23,1,359.085450863028
"117",2,1,968,25,23,1,352.086219829023
"118",2,1,993,7,7,1,67.0567053667891
"119",2,1,1000,25,24,1,307.500120606448
"120",2,1,1025,25,25,1,387.551093458668
"121",2,1,1050,25,25,1,290.74270757148
"122",2,1,1075,25,23,1,400.375507974186
"123",2,1,1100,25,23,1,233.013614709622
"124",2,1,1125,25,23,1,279.295747445601
